number	skill_id	name	category
4	549	Facebook Development	it web & mobile
4	255	electronic systems	manufacture & engineering
4	808	Rails	it web & mobile
4	346	Data Entry	admin support
4	1304	business strategy	unknown
4	1281	my sql	unknown
4	376	.NET	it web & mobile
4	324	Telecommunications Engineering	manufacture & engineering
4	103	Data Interpretation	finance & management
4	1170	Communications	writing and languages
4	258	Engineering Design	manufacture & engineering
4	1035	Building Architecture	design & multimedia
4	1103	Presentation Design	design & multimedia
4	611	Internet Security	it web & mobile
4	934	Wearables Technology	it web & mobile
4	53	Print Advertising	sales & marketing
4	1364	team management	unknown
4	246	Digital Electronics	manufacture & engineering
4	164	Tax	finance & management
4	181	Contracts	legal
4	846	Security & Control	it web & mobile
4	871	Spring	it web & mobile
4	717	Objective-C	it web & mobile
4	368	Time Management	admin support
4	1024	Audio Design	design & multimedia
4	680	Mobile Development Framework	it web & mobile
4	1333	mobile devices	unknown
4	235	Chemical Engineering	manufacture & engineering
3	193	Legal Research	legal
3	223	Autodesk	manufacture & engineering
3	1355	new business development	unknown
3	654	Mac OSX	it web & mobile
3	1367	product development	unknown
3	284	Manufacturing Design	manufacture & engineering
3	1092	Motion Graphics	design & multimedia
3	1220	Medical Writing	writing and languages
3	704	Network Design	it web & mobile
3	803	QA Testing	it web & mobile
3	195	Licensing	legal
3	110	Financial Communication	finance & management
3	1234	Proposal Writing	writing and languages
3	514	Database Programming	it web & mobile
3	788	PostgreSQL Administration	it web & mobile
3	1368	user experience	unknown
3	1196	Ghostwriting	writing and languages
3	705	Network Engineering	it web & mobile
3	197	Medical Law	legal
3	874	SQL Programming	it web & mobile
3	238	Clean Technology	manufacture & engineering
3	486	Core Java	it web & mobile
3	212	Adaptive Algorithms	manufacture & engineering
3	155	Sage 50 Accounting	finance & management
3	943	Web Services Development	it web & mobile
3	982	3D	design & multimedia
3	271	Imaging	manufacture & engineering
3	893	Test Automation	it web & mobile
3	22	eBay	sales & marketing
3	1096	Other - Multimedia	design & multimedia
3	396	Android SDK	it web & mobile
3	864	Socket.io	it web & mobile
3	1116	SketchUp	design & multimedia
3	879	Stata	it web & mobile
3	1242	Sales Writing	writing and languages
3	894	Test automation framework	it web & mobile
3	924	Visual Basic	it web & mobile
3	1224	Norwegian	writing and languages
3	428	Backbone.js	it web & mobile
3	1317	saa s	unknown
3	753	Oracle PL/SQL	it web & mobile
3	840	Scala	it web & mobile
3	142	PMP	finance & management
3	257	Embedded Systems	manufacture & engineering
3	51	Pinterest Marketing	sales & marketing
3	1362	mobile applications	unknown
3	574	Google Go	it web & mobile
3	1264	Travel Writing	writing and languages
3	1053	Digital Painting	design & multimedia
3	218	Architecture	manufacture & engineering
3	1123	Technical Writing	design & multimedia
3	1319	strategic partnerships	unknown
3	575	Google Maps	it web & mobile
3	842	Scalable transaction processing	it web & mobile
3	15	Classifieds Posting	sales & marketing
3	676	Microsoft SQL Server Programming	it web & mobile
3	1208	Korean	writing and languages
3	298	Operating Systems	manufacture & engineering
3	106	Enterprise Resource Planning	finance & management
3	1126	Typography	design & multimedia
3	714	NoSQL	it web & mobile
3	1320	enterprise software	unknown
3	332	Wireless	manufacture & engineering
3	509	Data Structures	it web & mobile
3	903	Twitter Development	it web & mobile
3	28	Google AdSense	sales & marketing
3	1375	business intelligence	unknown
3	1231	Press Releases	writing and languages
3	40	MailChimp	sales & marketing
3	1285	angular js	unknown
3	511	Data Warehousing	it web & mobile
3	702	Network Administration	it web & mobile
3	165	Tax Preparation	finance & management
3	262	Genetic Engineering	manufacture & engineering
3	1286	node js	unknown
3	1180	eBooks	writing and languages
3	1075	Infographics	design & multimedia
3	583	Grunt.js	it web & mobile
3	97	Compliance	finance & management
2	208	3D Scanning	manufacture & engineering
2	703	Network Analysis	it web & mobile
2	801	QA Engineering	it web & mobile
2	303	Petroleum Engineering	manufacture & engineering
2	1310	international development	unknown
2	872	SPSS	it web & mobile
2	500	Data Ingestion	it web & mobile
2	166	Technical Recruiter	finance & management
2	1025	Audio Editing	design & multimedia
2	263	Geographic Information Systems	manufacture & engineering
2	319	SketchUp Pro	manufacture & engineering
2	340	Call Center Skills	admin support
2	1253	Speech Writing	writing and languages
2	1143	Web Publishing	design & multimedia
2	584	Gulp.js	it web & mobile
2	31	Google webmaster central	sales & marketing
